user_name,1:1 (last month),Calls with Correct Contact (last month),Custom LinkedIn Outreach to Candidates (last month),Demo Meeting Completed (last month),Demo Meeting Set (last month),Initial Discovery Meeting Set (last month),Interview (last month),New Custom KPI (last month),Opportunity Created (last month),Outbound Calls (last month),Personal Development Hour (last month),Personalized Outbound Emails (last month),Pipeline Review (last month),Prospects added to cadence (last month),Scheduled Next Event (last month),1:1 (month before last),Calls with Correct Contact (month before last),Custom LinkedIn Outreach to Candidates (month before last),Demo Meeting Completed (month before last),Demo Meeting Set (month before last),Initial Discovery Meeting Set (month before last),Interview (month before last),New Custom KPI (month before last),Opportunity Created (month before last),Outbound Calls (month before last),Personal Development Hour (month before last),Personalized Outbound Emails (month before last),Pipeline Review (month before last),Prospects added to cadence (month before last),Scheduled Next Event (month before last)
Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,0,0,0,215,0,175,0,0,4
Mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,13,11,3,0,0,20,341,0,243,0,65,2
Serena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,35,4,5,0,5,12,213,0,81,0,111,31
